Episode,Total Rewards,Experience,Priority,Decay Rate,Exploration Rate,Convergence Speed
54,20.0,20,0.9306518172111399,3.0988191387218256e-12,0.5886049696783552,20.0
55,14.0,14,0.5013859474087959,1.8795288165390832e-12,0.5827482523739896,14.0
56,11.0,11,0.7579350034960374,1.1399918530443554e-12,0.5769498103804866,11.0
57,14.0,14,0.9100365114292964,6.914400106940203e-13,0.5712090638488149,14.0
58,22.0,22,1.0974129532837245,4.1937956583795446e-13,0.5655254386995371,22.0
59,10.0,10,0.7394070785221468,2.543665647376923e-13,0.559898366565402,10.0
60,10.0,10,1.1076060393548892,1.5428112031918877e-13,0.5543272847345071,10.0
61,12.0,12,0.8730964061141065,9.357622968840175e-14,0.5488116360940265,12.0
62,13.0,13,0.48101849457896806,5.675685232632723e-14,0.5433508690744998,13.0
63,9.0,9,0.32855705740154895,3.442477108469977e-14,0.5379444375946745,9.0
64,11.0,11,0.7948980692132753,2.0879679116459336e-14,0.5325918010068972,11.0
65,17.0,17,0.5883704775026408,1.2664165549094176e-14,0.5272924240430485,17.0
66,11.0,11,0.7980442237905141,7.681204685202095e-15,0.522045776761016,11.0
67,22.0,22,0.8723846208235354,4.658886145103398e-15,0.5168513344916992,22.0
68,16.0,16,0.56558799842889,2.825757287115611e-15,0.5117085777865424,16.0
69,14.0,14,0.5795472263290001,1.713908431542013e-15,0.5066169923655895,14.0
70,16.0,16,0.6994743224287802,1.039538011670222e-15,0.5015760690660555,16.0
71,14.0,14,0.7919259651546358,6.305116760146989e-16,0.49658530379140947,14.0
72,14.0,14,0.8428641198480717,3.8242466280971355e-16,0.4916441974609651,14.0
73,16.0,16,0.8299331326594832,2.3195228302435696e-16,0.4867522559599717,16.0
74,9.0,9,0.8316839062502268,1.4068617124461467e-16,0.48190899009020244,9.0
75,11.0,11,0.8973043078626407,8.533047625744066e-17,0.4771139155210344,11.0
76,32.0,32,0.7813893688990651,5.175555005801869e-17,0.4723665527410147,32.0
77,15.0,15,0.6044994012800717,3.1391327920480296e-17,0.46766642700990924,15.0
78,13.0,13,0.8255767338171105,1.9039802832864523e-17,0.46301306831122807,13.0
79,20.0,20,0.8220547150768589,1.1548224173015786e-17,0.4584060113052235,20.0
80,19.0,19,0.6135706854868168,7.004352026168645e-18,0.45384479528235583,19.0
