Episode,Total Rewards,Experience,Priority,Convergence Speed,Exploration Rate,Decay Rate
1,96.0,96,1.5707162879345171,95,0.011000000000000003,1.0
2,112.0,112,2.4406995544785453,15,0.011000000000000003,0.5
3,131.0,131,3.373675194781941,18,0.011000000000000003,0.3333333333333333
4,160.0,160,4.450492837727545,28,0.011000000000000003,0.25
5,178.0,178,5.217182525562108,17,0.011000000000000003,0.2
6,211.0,211,6.078077736130651,32,0.011000000000000003,0.16666666666666666
7,223.0,223,7.609476813498469,11,0.011000000000000003,0.14285714285714285
8,240.0,240,8.161166098041644,16,0.011000000000000003,0.125
9,257.0,257,9.13117863545643,16,0.011000000000000003,0.1111111111111111
10,318.0,318,9.928969936847567,60,0.011000000000000003,0.1
11,348.0,348,10.519536640982885,29,0.011000000000000003,0.09090909090909091
12,369.0,369,11.796225175937396,20,0.011000000000000003,0.08333333333333333
13,387.0,387,12.531166316582658,17,0.011000000000000003,0.07692307692307693
14,408.0,408,13.986460760068077,20,0.011000000000000003,0.07142857142857142
15,422.0,422,15.316981646295353,13,0.011000000000000003,0.06666666666666667
16,450.0,450,16.86615502490908,27,0.011000000000000003,0.0625
17,464.0,464,18.529390045214168,13,0.011000000000000003,0.058823529411764705
18,499.0,499,20.270436547549576,34,0.011000000000000003,0.05555555555555555
19,546.0,546,21.03516216071907,46,0.011000000000000003,0.05263157894736842
20,563.0,563,22.34186019541025,16,0.011000000000000003,0.05
21,580.0,580,22.97345228696017,16,0.011000000000000003,0.047619047619047616
22,604.0,604,24.382920463048162,23,0.011000000000000003,0.045454545454545456
23,633.0,633,25.058451653555352,28,0.011000000000000003,0.043478260869565216
24,665.0,665,25.273978964052606,31,0.011000000000000003,0.041666666666666664
25,689.0,689,25.486296944457,23,0.011000000000000003,0.04
26,700.0,700,26.574761651008696,10,0.011000000000000003,0.038461538461538464
27,720.0,720,27.456282479818203,19,0.011000000000000003,0.037037037037037035
28,738.0,738,28.295681085674005,17,0.011000000000000003,0.03571428571428571
29,758.0,758,29.35942693162764,19,0.011000000000000003,0.034482758620689655
30,773.0,773,30.239273977278796,14,0.011000000000000003,0.03333333333333333
31,787.0,787,31.390187386556818,13,0.011000000000000003,0.03225806451612903
32,802.0,802,32.743015821061476,14,0.011000000000000003,0.03125
33,820.0,820,34.02174992074148,17,0.011000000000000003,0.030303030303030304
34,835.0,835,34.87951270522523,14,0.011000000000000003,0.029411764705882353
35,858.0,858,35.15562249534993,22,0.011000000000000003,0.02857142857142857
36,887.0,887,36.11082220857425,28,0.011000000000000003,0.027777777777777776
37,896.0,896,37.53965558025917,8,0.011000000000000003,0.02702702702702703
38,906.0,906,37.652826554163774,9,0.011000000000000003,0.02631578947368421
39,949.0,949,38.47486380941453,42,0.011000000000000003,0.02564102564102564
40,972.0,972,39.125577940666744,22,0.011000000000000003,0.025
41,987.0,987,40.7047124290171,14,0.011000000000000003,0.024390243902439025
42,1008.0,1008,42.07022403951762,20,0.011000000000000003,0.023809523809523808
43,1040.0,1040,43.667152057066914,31,0.011000000000000003,0.023255813953488372
44,1052.0,1052,44.9590790290959,11,0.011000000000000003,0.022727272727272728
45,1080.0,1080,46.592066141143555,27,0.011000000000000003,0.022222222222222223
46,1132.0,1132,47.052611824037584,51,0.011000000000000003,0.021739130434782608
47,1154.0,1154,47.995192048500286,21,0.011000000000000003,0.02127659574468085
48,1166.0,1166,49.24147215832436,11,0.011000000000000003,0.020833333333333332
49,1178.0,1178,50.61946489115722,11,0.011000000000000003,0.02040816326530612
50,1192.0,1192,51.22019043203006,13,0.011000000000000003,0.02
51,1201.0,1201,51.94955252008542,8,0.011000000000000003,0.0196078431372549
52,1233.0,1233,53.19754037869542,31,0.011000000000000003,0.019230769230769232
53,1243.0,1243,53.546704509981,9,0.011000000000000003,0.018867924528301886
54,1258.0,1258,53.77158511581184,14,0.011000000000000003,0.018518518518518517
55,1273.0,1273,55.55843659841427,14,0.011000000000000003,0.01818181818181818
56,1297.0,1297,56.621259321912696,23,0.011000000000000003,0.017857142857142856
57,1317.0,1317,57.39651600148747,19,0.011000000000000003,0.017543859649122806
58,1329.0,1329,58.361264189963066,11,0.011000000000000003,0.017241379310344827
59,1362.0,1362,59.31893043965689,32,0.011000000000000003,0.01694915254237288
60,1375.0,1375,60.748538579522915,12,0.011000000000000003,0.016666666666666666
61,1385.0,1385,61.70875558174931,9,0.011000000000000003,0.01639344262295082
62,1407.0,1407,62.55719240534106,21,0.011000000000000003,0.016129032258064516
63,1424.0,1424,63.09616217652363,16,0.011000000000000003,0.015873015873015872
64,1436.0,1436,64.02482012981201,11,0.011000000000000003,0.015625
65,1459.0,1459,65.083818409698,22,0.011000000000000003,0.015384615384615385
66,1499.0,1499,65.93505871557228,39,0.011000000000000003,0.015151515151515152
67,1508.0,1508,66.99175447825417,8,0.011000000000000003,0.014925373134328358
68,1530.0,1530,68.14190779625652,21,0.011000000000000003,0.014705882352941176
69,1560.0,1560,68.38204580118413,29,0.011000000000000003,0.014492753623188406
70,1591.0,1591,69.13070572708284,30,0.011000000000000003,0.014285714285714285
71,1626.0,1626,70.11880819656935,34,0.011000000000000003,0.014084507042253521
72,1638.0,1638,70.64592215162233,11,0.011000000000000003,0.013888888888888888
73,1663.0,1663,71.27913113000044,24,0.011000000000000003,0.0136986301369863
74,1707.0,1707,71.70643335647227,43,0.011000000000000003,0.013513513513513514
75,1718.0,1718,72.6873563045185,10,0.011000000000000003,0.013333333333333334
76,1730.0,1730,73.74119961125797,11,0.011000000000000003,0.013157894736842105
77,1753.0,1753,74.91977748042844,22,0.011000000000000003,0.012987012987012988
78,1769.0,1769,75.17437071037827,15,0.011000000000000003,0.01282051282051282
79,1780.0,1780,75.61801090772126,10,0.011000000000000003,0.012658227848101266
80,1793.0,1793,77.26568064520167,12,0.011000000000000003,0.0125
81,1805.0,1805,77.78864670082127,11,0.011000000000000003,0.012345679012345678
82,1817.0,1817,78.64195270574514,11,0.011000000000000003,0.012195121951219513
83,1835.0,1835,79.87699630519546,17,0.011000000000000003,0.012048192771084338
84,1853.0,1853,81.67432799412197,17,0.011000000000000003,0.011904761904761904
85,1880.0,1880,81.93934951088761,26,0.011000000000000003,0.011764705882352941
86,1891.0,1891,82.83992600272181,10,0.011000000000000003,0.011627906976744186
87,1921.0,1921,83.79664888010076,29,0.011000000000000003,0.011494252873563218
88,1949.0,1949,84.00025863580146,27,0.011000000000000003,0.011363636363636364
89,1968.0,1968,84.8409044296532,18,0.011000000000000003,0.011235955056179775
