Episode,Total Rewards,Experience,Priority,Convergence Speed,Exploration Rate,Decay Rate
37,881.0,881,36.67614854396133,17,0.011000000000000003,0.02702702702702703
38,902.0,902,37.5178577538648,20,0.011000000000000003,0.02631578947368421
39,925.0,925,38.6722791904973,22,0.011000000000000003,0.02564102564102564
40,969.0,969,39.823571835419116,43,0.011000000000000003,0.025
41,984.0,984,40.40893020213172,14,0.011000000000000003,0.024390243902439025
42,1004.0,1004,40.62130084522833,19,0.011000000000000003,0.023809523809523808
43,1022.0,1022,41.89120941786367,17,0.011000000000000003,0.023255813953488372
44,1059.0,1059,42.88163403927373,36,0.011000000000000003,0.022727272727272728
45,1105.0,1105,43.28598127786591,45,0.011000000000000003,0.022222222222222223
46,1126.0,1126,44.08028300821192,20,0.011000000000000003,0.021739130434782608
47,1152.0,1152,44.95764354124799,25,0.011000000000000003,0.02127659574468085
48,1162.0,1162,46.065579184890254,9,0.011000000000000003,0.020833333333333332
49,1183.0,1183,46.631887808662036,20,0.011000000000000003,0.02040816326530612
50,1213.0,1213,47.584590858581095,29,0.011000000000000003,0.02
51,1259.0,1259,48.21581303555438,45,0.011000000000000003,0.0196078431372549
52,1276.0,1276,49.033675593780806,16,0.011000000000000003,0.019230769230769232
53,1297.0,1297,50.74064713976914,20,0.011000000000000003,0.018867924528301886
54,1309.0,1309,51.294488961963005,11,0.011000000000000003,0.018518518518518517
55,1319.0,1319,52.765964554018595,9,0.011000000000000003,0.01818181818181818
56,1348.0,1348,53.8709838101396,28,0.011000000000000003,0.017857142857142856
57,1390.0,1390,54.84234162709814,41,0.011000000000000003,0.017543859649122806
58,1448.0,1448,55.16877886969765,57,0.011000000000000003,0.017241379310344827
59,1462.0,1462,55.618859049099875,13,0.011000000000000003,0.01694915254237288
60,1476.0,1476,56.740675194258266,13,0.011000000000000003,0.016666666666666666
61,1522.0,1522,57.47535300514151,45,0.011000000000000003,0.01639344262295082
62,1547.0,1547,58.03390391083104,24,0.011000000000000003,0.016129032258064516
63,1575.0,1575,59.26004647308936,27,0.011000000000000003,0.015873015873015872
64,1647.0,1647,59.63289157858504,71,0.011000000000000003,0.015625
65,1667.0,1667,61.23408278663343,19,0.011000000000000003,0.015384615384615385
66,1677.0,1677,62.656854770459404,9,0.011000000000000003,0.015151515151515152
67,1693.0,1693,63.38344127695639,15,0.011000000000000003,0.014925373134328358
68,1713.0,1713,63.761369551465705,19,0.011000000000000003,0.014705882352941176
69,1726.0,1726,64.55914961555618,12,0.011000000000000003,0.014492753623188406
70,1743.0,1743,66.03798823815404,16,0.011000000000000003,0.014285714285714285
71,1766.0,1766,67.30464235525731,22,0.011000000000000003,0.014084507042253521
72,1814.0,1814,67.81554239824715,47,0.011000000000000003,0.013888888888888888
73,1842.0,1842,68.3586551469469,27,0.011000000000000003,0.0136986301369863
74,1876.0,1876,69.6656914502631,33,0.011000000000000003,0.013513513513513514
75,1886.0,1886,70.34906166994666,9,0.011000000000000003,0.013333333333333334
76,1945.0,1945,71.7084782882891,58,0.011000000000000003,0.013157894736842105
77,1962.0,1962,72.23334767249145,16,0.011000000000000003,0.012987012987012988
78,2028.0,2028,72.40165858155748,65,0.011000000000000003,0.01282051282051282
79,2048.0,2048,73.4145822260671,19,0.011000000000000003,0.012658227848101266
80,2078.0,2078,74.46423924076568,29,0.011000000000000003,0.0125
81,2088.0,2088,76.17951742420546,9,0.011000000000000003,0.012345679012345678
82,2105.0,2105,76.62479522409578,16,0.011000000000000003,0.012195121951219513
83,2119.0,2119,78.06652054647228,13,0.011000000000000003,0.012048192771084338
84,2132.0,2132,79.32594140356207,12,0.011000000000000003,0.011904761904761904
85,2157.0,2157,80.5712117005926,24,0.011000000000000003,0.011764705882352941
86,2172.0,2172,81.9046802459533,14,0.011000000000000003,0.011627906976744186
87,2192.0,2192,82.71183177817169,19,0.011000000000000003,0.011494252873563218
88,2201.0,2201,83.40163234659249,8,0.011000000000000003,0.011363636363636364
89,2220.0,2220,84.72531030357536,18,0.011000000000000003,0.011235955056179775
90,2230.0,2230,85.8046952614105,9,0.011000000000000003,0.011111111111111112
91,2244.0,2244,86.71150462954849,13,0.011000000000000003,0.01098901098901099
92,2277.0,2277,88.16349438071089,32,0.011000000000000003,0.010869565217391304
93,2299.0,2299,88.30294199704257,21,0.011000000000000003,0.010752688172043012
94,2311.0,2311,89.49127766929273,11,0.011000000000000003,0.010638297872340425
95,2331.0,2331,89.6878913706114,19,0.011000000000000003,0.010526315789473684
96,2345.0,2345,90.10943096861692,13,0.011000000000000003,0.010416666666666666
97,2372.0,2372,91.81097633955173,26,0.011000000000000003,0.010309278350515464
98,2398.0,2398,92.43097022826292,25,0.011000000000000003,0.01020408163265306
99,2413.0,2413,93.02868734950606,14,0.011000000000000003,0.010101010101010102
100,2503.0,2503,93.27908920739971,89,0.011000000000000003,0.01
101,2520.0,2520,94.20223156480664,16,0.011000000000000003,0.009900990099009901
102,2543.0,2543,95.69083382087825,22,0.011000000000000003,0.00980392156862745
103,2572.0,2572,96.50230522301734,28,0.011000000000000003,0.009708737864077669
104,2587.0,2587,97.88262419541458,14,0.011000000000000003,0.009615384615384616
105,2634.0,2634,98.74091565841476,46,0.011000000000000003,0.009523809523809525
106,2652.0,2652,98.96501860341726,17,0.011000000000000003,0.009433962264150943
107,2666.0,2666,100.58437612571566,13,0.011000000000000003,0.009345794392523364
108,2685.0,2685,102.06583821245823,18,0.011000000000000003,0.009259259259259259
109,2739.0,2739,102.48183922886432,53,0.011000000000000003,0.009174311926605505
110,2766.0,2766,103.40270439905164,26,0.011000000000000003,0.00909090909090909
111,2788.0,2788,104.65982129091229,21,0.011000000000000003,0.009009009009009009
112,2805.0,2805,105.77034078385122,16,0.011000000000000003,0.008928571428571428
113,2821.0,2821,106.82225020972388,15,0.011000000000000003,0.008849557522123894
114,2832.0,2832,108.07133924920984,10,0.011000000000000003,0.008771929824561403
115,2869.0,2869,109.62468563037338,36,0.011000000000000003,0.008695652173913044
116,2922.0,2922,110.7794381851848,52,0.011000000000000003,0.008620689655172414
117,2940.0,2940,111.94917192351102,17,0.011000000000000003,0.008547008547008548
118,2961.0,2961,112.38465263575495,20,0.011000000000000003,0.00847457627118644
119,2974.0,2974,113.54335434363252,12,0.011000000000000003,0.008403361344537815
120,2987.0,2987,114.55136806777567,12,0.011000000000000003,0.008333333333333333
121,3003.0,3003,115.569883608261,15,0.011000000000000003,0.008264462809917356
122,3017.0,3017,117.09619743137489,13,0.011000000000000003,0.00819672131147541
123,3027.0,3027,118.39073157103188,9,0.011000000000000003,0.008130081300813009
124,3043.0,3043,119.8379903901604,15,0.011000000000000003,0.008064516129032258
125,3137.0,3137,121.68303061975205,93,0.011000000000000003,0.008
126,3162.0,3162,122.62802527823528,24,0.011000000000000003,0.007936507936507936
127,3176.0,3176,122.93350661960295,13,0.011000000000000003,0.007874015748031496
128,3197.0,3197,123.46232169304021,20,0.011000000000000003,0.0078125
129,3213.0,3213,123.80298746265073,15,0.011000000000000003,0.007751937984496124
130,3229.0,3229,124.6616044587139,15,0.011000000000000003,0.007692307692307693
131,3243.0,3243,125.5602355776423,13,0.011000000000000003,0.007633587786259542
132,3258.0,3258,126.4323910905478,14,0.011000000000000003,0.007575757575757576
133,3286.0,3286,127.02009155826501,27,0.011000000000000003,0.007518796992481203
134,3329.0,3329,128.8607789256875,42,0.011000000000000003,0.007462686567164179
135,3349.0,3349,129.88948726066442,19,0.011000000000000003,0.007407407407407408
136,3362.0,3362,130.9664270516431,12,0.011000000000000003,0.007352941176470588
137,3416.0,3416,131.7809216527224,53,0.011000000000000003,0.0072992700729927005
138,3434.0,3434,132.44524164121182,17,0.011000000000000003,0.007246376811594203
139,3448.0,3448,133.13048215404638,13,0.011000000000000003,0.007194244604316547
140,3460.0,3460,134.9237330357105,11,0.011000000000000003,0.007142857142857143
141,3512.0,3512,135.88733399209013,51,0.011000000000000003,0.0070921985815602835
142,3527.0,3527,136.96853060416908,14,0.011000000000000003,0.007042253521126761
143,3556.0,3556,137.95506734475447,28,0.011000000000000003,0.006993006993006993
144,3571.0,3571,138.83115513887114,14,0.011000000000000003,0.006944444444444444
145,3603.0,3603,140.2236761251028,31,0.011000000000000003,0.006896551724137931
146,3624.0,3624,141.39292817247107,20,0.011000000000000003,0.00684931506849315
147,3638.0,3638,142.2671872770354,13,0.011000000000000003,0.006802721088435374
148,3664.0,3664,143.88457953207154,25,0.011000000000000003,0.006756756756756757
149,3685.0,3685,145.29266367807008,20,0.011000000000000003,0.006711409395973154
150,3713.0,3713,146.49177841686551,27,0.011000000000000003,0.006666666666666667
151,3736.0,3736,147.11855707100153,22,0.011000000000000003,0.006622516556291391
152,3765.0,3765,148.13655877687117,28,0.011000000000000003,0.006578947368421052
153,3779.0,3779,148.88225578712874,13,0.011000000000000003,0.006535947712418301
154,3806.0,3806,150.57347799673934,26,0.011000000000000003,0.006493506493506494
155,3843.0,3843,151.64409305163792,36,0.011000000000000003,0.0064516129032258064
156,3874.0,3874,153.37090313056422,30,0.011000000000000003,0.00641025641025641
157,3900.0,3900,155.05417121240325,25,0.011000000000000003,0.006369426751592357
158,3912.0,3912,155.97011293814342,11,0.011000000000000003,0.006329113924050633
159,3937.0,3937,157.28081412148285,24,0.011000000000000003,0.006289308176100629
160,3972.0,3972,158.86757622486405,34,0.011000000000000003,0.00625
161,3996.0,3996,160.12624360273267,23,0.011000000000000003,0.006211180124223602
162,4015.0,4015,160.56840096781445,18,0.011000000000000003,0.006172839506172839
163,4033.0,4033,161.31430285921834,17,0.011000000000000003,0.006134969325153374
164,4063.0,4063,162.08846689740633,29,0.011000000000000003,0.006097560975609756
165,4080.0,4080,163.5142472857079,16,0.011000000000000003,0.006060606060606061
166,4095.0,4095,164.5640117246146,14,0.011000000000000003,0.006024096385542169
