Episode,Total Rewards,Experience,Priority,Decay Rate,Exploration Rate,Convergence Speed
1,17.0,17,2.3948824619893827,1.0,1.0,17.0
2,14.0,14,1.8826266362743798,0.6065306597126334,0.9900498337491681,14.0
3,8.0,8,2.8030804984569184,0.36787944117144233,0.9801986733067553,8.0
4,12.0,12,2.145234001002203,0.22313016014842982,0.9704455335485082,12.0
5,10.0,10,1.268919973953756,0.1353352832366127,0.9607894391523232,10.0
6,17.0,17,1.9879631367318262,0.0820849986238988,0.951229424500714,17.0
7,10.0,10,2.1649381369148633,0.049787068367863944,0.9417645335842487,10.0
8,13.0,13,1.9428121679542034,0.0301973834223185,0.9323938199059483,13.0
9,33.0,33,2.240880541813508,0.01831563888873418,0.9231163463866358,33.0
10,13.0,13,2.188997604578363,0.011108996538242306,0.9139311852712282,13.0
11,12.0,12,1.8860113788689057,0.006737946999085467,0.9048374180359595,12.0
12,27.0,27,1.2174431518835702,0.004086771438464067,0.8958341352965282,27.0
13,14.0,14,1.254804299471466,0.0024787521766663585,0.8869204367171575,14.0
14,16.0,16,2.106400466184338,0.0015034391929775724,0.8780954309205613,16.0
15,20.0,20,2.003696027951023,0.0009118819655545162,0.8693582353988059,20.0
16,14.0,14,1.9113365692362294,0.0005530843701478336,0.8607079764250578,14.0
17,9.0,9,1.4167261038908563,0.00033546262790251185,0.8521437889662113,9.0
18,19.0,19,1.9498428395384582,0.00020346836901064417,0.8436648165963837,19.0
19,11.0,11,1.7133209048338076,0.00012340980408667956,0.835270211411272,11.0
20,14.0,14,1.210920405648594,7.48518298877006e-05,0.8269591339433623,14.0
21,20.0,20,2.192050970343672,4.5399929762484854e-05,0.8187307530779818,20.0
22,25.0,25,1.5496588518605166,2.7536449349747158e-05,0.8105842459701871,25.0
23,18.0,18,1.6132308257637213,1.670170079024566e-05,0.8025187979624785,18.0
24,42.0,42,2.0555352575786285,1.013009359863071e-05,0.794533602503334,42.0
25,13.0,13,0.8279604719442154,6.14421235332821e-06,0.7866278610665535,13.0
26,19.0,19,1.83108482567777,3.726653172078671e-06,0.7788007830714049,19.0
27,15.0,15,1.5130453754315634,2.2603294069810542e-06,0.7710515858035663,15.0
28,11.0,11,1.6101369646490764,1.3709590863840845e-06,0.7633794943368531,11.0
29,20.0,20,1.2660604116591763,8.315287191035679e-07,0.7557837414557255,20.0
30,11.0,11,1.364167487986899,5.04347662567888e-07,0.7482635675785653,11.0
31,15.0,15,1.1874790555306503,3.059023205018258e-07,0.7408182206817179,15.0
32,17.0,17,1.4101755108337044,1.8553913626159784e-07,0.7334469562242892,17.0
33,10.0,10,1.7012631612000868,1.1253517471925912e-07,0.7261490370736909,10.0
34,12.0,12,1.3690359184694914,6.82560337633487e-08,0.7189237334319262,12.0
35,12.0,12,1.5766942388665552,4.139937718785167e-08,0.7117703227626097,12.0
36,11.0,11,1.180076693571866,2.510999155743982e-08,0.7046880897187134,11.0
37,10.0,10,1.0016429744645914,1.522997974471263e-08,0.697676326071031,10.0
38,16.0,16,1.1355549905311184,9.237449661970594e-09,0.6907343306373547,16.0
39,15.0,15,1.7165346096984362,5.602796437537268e-09,0.6838614092123558,15.0
40,48.0,48,1.4495495107264456,3.398267819495071e-09,0.6770568744981647,48.0
41,17.0,17,1.5927759028769282,2.061153622438558e-09,0.6703200460356393,17.0
42,12.0,12,1.6997798517380909,1.2501528663867426e-09,0.6636502501363194,12.0
43,11.0,11,1.470470654859068,7.582560427911907e-10,0.6570468198150567,11.0
44,11.0,11,0.71954417767549,4.5990553786523166e-10,0.6505090947233165,11.0
45,15.0,15,1.0690388863536633,2.7894680928689246e-10,0.6440364210831414,15.0
